ID,StartDateUTC,EndDateUTC
0,2016-01-19 14:21:47.980,2016-01-19 14:22:51.830
1,2016-01-19 17:23:51.660,2016-01-19 17:30:45.690
2,2016-01-19 19:41:56.830,2016-01-19 19:44:53.073
3,2016-01-21 09:56:44.780,2016-01-21 09:58:50.930
4,2016-01-21 10:51:08.090,2016-01-21 10:56:02.120
5,2016-01-21 13:51:13.513,2016-01-21 14:03:37.990
6,2016-01-21 15:37:37.417,2016-01-21 15:41:59.390
7,2016-01-21 16:08:39.303,2016-01-21 16:10:43.323
8,2016-01-21 20:31:58.620,2016-01-21 20:46:41.527
9,2016-01-21 21:53:14.227,2016-01-21 21:56:36.353
10,2016-01-21 22:06:16.173,2016-01-21 22:12:29.140
11,2016-01-21 22:39:59.233,2016-01-21 22:42:33.073
12,2016-01-22 02:32:39.627,2016-01-22 02:34:59.640
13,2016-01-22 04:20:30.020,2016-01-22 04:22:55.947
14,2016-01-22 04:56:09.047,2016-01-22 04:58:14.230
15,2016-01-22 09:59:39.977,2016-01-22 10:05:15.977
16,2016-01-22 21:59:03.370,2016-01-22 22:01:07.470
17,2016-01-23 14:21:22.550,2016-01-23 14:30:59.460
18,2016-01-24 22:42:02.310,2016-01-24 22:45:46.347
19,2016-01-24 22:58:19.380,2016-01-24 23:07:36.410
20,2016-01-24 23:09:46.500,2016-01-24 23:19:15.433
21,2016-01-25 04:13:14.767,2016-01-25 04:50:28.720
22,2016-01-25 12:51:18.860,2016-01-25 12:53:24.720
23,2016-01-25 18:04:07.627,2016-01-25 18:07:27.267
24,2016-01-25 18:16:20.717,2016-01-25 18:18:26.000
25,2016-01-26 01:26:52.847,2016-01-26 01:33:33.140
26,2016-01-26 01:33:37.847,2016-01-26 01:39:45.923
27,2016-01-26 01:40:34.917,2016-01-26 01:50:13.043
28,2016-01-26 07:22:10.140,2016-01-26 07:24:17.170
29,2016-01-26 08:08:19.273,2016-01-26 08:33:18.953
30,2016-01-26 09:04:57.927,2016-01-26 09:08:35.933
31,2016-01-26 09:32:20.893,2016-01-26 09:40:29.770
32,2016-01-26 10:12:18.767,2016-01-26 10:16:42.650
33,2016-01-26 15:07:23.990,2016-01-26 15:12:52.960
34,2016-01-26 15:26:00.017,2016-01-26 15:28:05.147
35,2016-01-26 21:20:45.080,2016-01-26 21:35:36.180
36,2016-01-26 21:35:41.170,2016-01-26 21:37:36.173
37,2016-01-26 21:44:05.187,2016-01-26 21:52:08.123
38,2016-01-26 21:52:59.183,2016-01-26 22:02:06.093
39,2016-01-26 22:59:06.300,2016-01-26 23:03:11.300
40,2016-01-26 23:08:59.590,2016-01-26 23:12:45.320
41,2016-01-26 23:28:10.353,2016-01-26 23:31:38.530
42,2016-01-27 03:41:07.230,2016-01-27 03:45:17.303
43,2016-01-27 05:05:30.377,2016-01-27 05:07:35.397
44,2016-01-27 08:06:40.620,2016-01-27 08:12:07.617
45,2016-01-27 11:11:33.480,2016-01-27 11:13:40.113
46,2016-01-27 18:26:01.030,2016-01-27 18:29:55.850
47,2016-01-27 18:47:52.893,2016-01-27 18:50:00.007
48,2016-01-27 19:40:13.063,2016-01-27 19:43:53.080
49,2016-01-28 00:04:32.810,2016-01-28 00:08:06.760
